origin,destination,path,path_count,path_frequency,path_frequency_within_od,total_count,od_frequency,actions_taken,rewards_per_step,total_return,highest_reward_index,highest_reward_value
0,9,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_136_9,4,0.0004067520846044336,1.0,4,0.0004067520846044336,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(7)]","[0.05931256711483002, 0.6582671999931335, 0.5505886077880859, 0.7813553214073181, 0.6108210682868958, 0.6198112368583679, 0.7417652606964111, 0.642265260219574, 0.6384667754173279, 0.6989069581031799, 0.6408980488777161, 0.6525186896324158, 0.5930448174476624, 0.6822777986526489, 0.7246606945991516, 0.786470353603363]",10.081430658698082,16,0.786470353603363
0,31,0_330_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_340_32_309_311_31,1,0.0001016880211511084,1.0,1,0.0001016880211511084,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(7), np.int64(0), np.int64(7), np.int64(6), np.int64(0)]","[0.017741842195391655, 0.6699575781822205, 0.3998148739337921, 0.6915743947029114, 0.5486675500869751, 0.64771568775177, 0.7030625343322754, 0.6873490810394287, 0.46225491166114807, 0.6606789231300354, 0.6533642411231995, 0.5748906135559082, 0.6042609214782715, 0.4615170657634735, 0.6517989039421082, 0.5982711911201477, 0.5308271050453186, 0.5611047744750977, 0.6696223020553589, 0.5920347571372986, 0.415068119764328, 0.6278883218765259, 0.10521426796913147, 0.8068902492523193, 0.7093219757080078]",14.050892187282443,24,0.8068902492523193
0,36,0_330_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_36,1,0.0001016880211511084,1.0,1,0.0001016880211511084,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]","[0.04971245303750038, 0.6915315389633179, 0.530869722366333, 0.7792913317680359, 0.6252655386924744, 0.6463201642036438, 0.7423950433731079, 0.6661693453788757, 0.6569966673851013, 0.6926318407058716, 0.6303435564041138, 0.6324182152748108, 0.609978199005127, 0.6256992816925049, 0.6316736340522766, 0.6337926387786865, 0.6274179816246033, 0.2692584991455078]",10.741765651851892,4,0.7792913317680359
0,40,0_330_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_357_323_318_38_40,2,0.0002033760423022168,1.0,2,0.0002033760423022168,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(6)]","[0.027670562267303467, 0.6596302390098572, 0.45325011014938354, 0.7270647287368774, 0.594004213809967, 0.636237621307373, 0.716049313545227, 0.6571535468101501, 0.5770912170410156, 0.672538161277771, 0.639883279800415, 0.5855023860931396, 0.6134706139564514, 0.5879731774330139, 0.610533595085144, 0.651837944984436, 0.5522066950798035, 0.4333055913448334, 0.6360100507736206, 0.3086812496185303, 0.469863623380661, 0.8668472170829773, 0.7073544263839722, 0.6020985841751099]",13.986258149147034,22,0.8668472170829773
0,77,0_330_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_341_342_71_345_282_77,1,0.0001016880211511084,1.0,1,0.0001016880211511084,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2)]","[0.03208516910672188, 0.6531985998153687, 0.4135207533836365, 0.6961387991905212, 0.5983222723007202, 0.6572226881980896, 0.7176196575164795, 0.6630237698554993, 0.569033682346344, 0.6742223501205444, 0.6882917284965515, 0.6268342137336731, 0.6731934547424316, 0.6299120187759399, 0.6545377373695374, 0.6430549621582031, 0.5807246565818787, 0.6532022953033447, 0.6958131194114685, 0.6503579616546631, 0.5205069184303284, 0.6812440752983093, 0.6666415929794312, 0.5928374528884888, 0.6516724228858948, 0.2653570771217346]",15.548569429665804,7,0.7176196575164795
0,78,0_330_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_341_342_71_345_282_78,1,0.0001016880211511084,1.0,1,0.0001016880211511084,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0)]","[0.032190773636102676, 0.6780686378479004, 0.4228495657444, 0.7038704752922058, 0.6055362820625305, 0.6786764860153198, 0.7277637124061584, 0.6845458745956421, 0.5762150287628174, 0.6963542699813843, 0.7097423672676086, 0.6509587168693542, 0.6810186505317688, 0.6497129797935486, 0.6843218207359314, 0.6503331065177917, 0.5992479920387268, 0.6648662686347961, 0.7129250764846802, 0.6566899418830872, 0.5077759027481079, 0.6967954039573669, 0.6760969758033752, 0.6022288799285889, 0.6559188961982727, 0.7892144918441772]",16.393918577581644,26,0.7892144918441772
0,90,0_330_338_154_174_364_178_180_337_182_186_347_403_243_212_25_252_245_37_54_358_340_32_310_387_339_273_386_262_265_334_95_275_216_90,1,0.0001016880211511084,1.0,1,0.0001016880211511084,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(7), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(7), np.int64(7), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6)]","[0.01027759164571762, 0.4979609251022339, 0.18872298300266266, 0.5099009275436401, 0.308562695980072, 0.5009680986404419, 0.6123086214065552, 0.6645011305809021, 0.26292911171913147, 0.6410451531410217, 0.6493304967880249, 0.3874819576740265, 0.6524842381477356, 0.40108734369277954, 0.6884293556213379, 0.5818126201629639, 0.51754230260849, 0.6103593111038208, 0.637697160243988, 0.596526563167572, 0.4006081521511078, 0.5897886753082275, 0.6075423359870911, 0.6976304054260254, 0.6115349531173706, 0.564129650592804, 0.6552504897117615, 0.2091122567653656, 1.0674009323120117, 0.6126862168312073, 0.6117448210716248, 0.6396027207374573, 0.6765047907829285, 0.7347709536552429]",18.598235942423344,29,1.0674009323120117
0,135,0_330_338_154_174_364_178_180_337_182_186_347_403_243_211_135,2,0.0002033760423022168,1.0,2,0.0002033760423022168,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(2)]","[0.06834717839956284, 0.6533559560775757, 0.5394799709320068, 0.7630077004432678, 0.612919807434082, 0.6161268949508667, 0.7345774173736572, 0.636009156703949, 0.6553846001625061, 0.6957091689109802, 0.6385754942893982, 0.6700662970542908, 0.5793546438217163, 0.702657163143158, 0.387491911649704]",8.953063361346722,4,0.7630077004432678
0,173,0_330_338_154_174_364_178_180_337_181_183_185_177_404_194_173,1,0.0001016880211511084,1.0,1,0.0001016880211511084,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(2), np.int64(0)]","[0.4047665596008301, 0.662440836429596, 0.5470759272575378, 0.24781815707683563, 0.16867591440677643, 0.6435006260871887, 0.6881436705589294, 0.6522294282913208, 0.17950786650180817, 0.021980341523885727, 0.2185351699590683, 0.6257129907608032, 0.6663237810134888, 0.3544466495513916, 0.46630948781967163]",6.547467406839132,7,0.6881436705589294
0,206,0_330_338_154_174_364_178_180_337_182_187_189_191_396_204_206,1,0.0001016880211511084,0.5,2,0.0002033760423022168,"[np.int64(6), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(6), np.int64(0), np.int64(0), np.int64(2), np.int64(2), np.int64(0)]","[0.11534099280834198, 0.6183170676231384, 0.5244211554527283, 0.667517364025116, 0.6515657305717468, 0.637377917766571, 0.5857881307601929, 0.6437944173812866, 0.7799450159072876, 0.1964021921157837, 0.4069494605064392, 0.5266156196594238, 0.15137282013893127, 0.13893887400627136, 0.2630297541618347]",6.907376512885094,9,0.7799450159072876
